place_id,distance_epicerie,cote_epicerie,distance_pharmacie,cote_pharmacie,distance_sante,cote_sante,distance_banque,cote_banque,distance_poste,cote_poste,distance_ecole,cote_ecole,distance_bibliotheque,cote_bibliotheque,distance_communautaire,cote_communautaire,cote_totale,distance_transport,acces_transport
117,603.0214911430028,4,683.1462653902628,4,810.1561477521024,4,619.9920265667963,4,1133.6784767178158,3,809.0771884276899,4,1091.5372782020693,3,796.915569925014,4,30,126.88921967603862,True
118,702.8819847993262,4,783.0067590465862,4,910.0166414084258,4,719.8525202231198,4,1233.5389703741394,3,908.9376820840133,4,1191.3977718583928,3,896.7760635813374,4,30,226.749713332362,True
119,673.5720561479608,4,753.6968303952208,4,880.7067127570604,4,690.5425915717543,4,1204.229041722774,3,879.6277534326479,4,1162.0878432070274,3,867.466134929972,4,30,197.43978468099658,True
120,587.6617063966219,4,667.7864806438818,4,1056.1469439724556,3,604.6322418204154,4,1379.6692729381687,3,1238.783659495569,3,1076.1774934556881,3,1162.8890808983317,3,27,333.3426998898252,True
121,396.2420357501136,4,476.3668099973736,4,864.7272733259474,4,413.2125711739071,4,1188.2496022916605,3,1047.363988849061,3,884.7578228091799,4,971.4694102518235,4,30,141.92302924331696,True
122,2358.522323303637,2,,1,,1,,1,,1,1047.807882323816,3,,1,2381.2743602986966,2,12,448.99251925621655,True
123,2566.2604732856203,2,,1,,1,,1,,1,1422.0050370459062,3,,1,2393.9761164401584,2,12,651.5098191319372,False
124,2566.2604732856203,2,,1,,1,,1,,1,1422.0050370459062,3,,1,2393.9761164401584,2,12,651.5098191319372,False
125,2934.149633519782,2,2823.4792969474897,2,,1,,1,,1,1985.6214852620026,3,,1,,1,12,1137.4266649481046,False
126,2934.149633519782,2,2823.4792969474897,2,,1,,1,,1,1985.6214852620026,3,,1,,1,12,1137.4266649481046,False
127,2934.149633519782,2,2823.4792969474897,2,,1,,1,,1,1985.6214852620026,3,,1,,1,12,1137.4266649481046,False
128,2934.149633519782,2,2823.4792969474897,2,,1,,1,,1,1985.6214852620026,3,,1,,1,12,1137.4266649481046,False
129,1893.8546069823979,3,2192.5176485798174,2,1444.1257114369346,3,,1,,1,1267.535580422639,3,,1,2583.441689826217,2,16,1274.1245667336123,False
130,1893.8546069823979,3,2192.5176485798174,2,1444.1257114369346,3,,1,,1,1267.535580422639,3,,1,2583.441689826217,2,16,1274.1245667336123,False
131,1893.8546069823979,3,2192.5176485798174,2,1444.1257114369346,3,,1,,1,1267.535580422639,3,,1,2583.441689826217,2,16,1274.1245667336123,False
132,1907.643410709666,3,2214.308791187537,2,1130.4599947596794,3,,1,,1,1155.7369996315208,3,,1,2597.8555770601797,2,16,1047.2215510644762,False
133,1907.643410709666,3,2214.308791187537,2,1130.4599947596794,3,,1,,1,1155.7369996315208,3,,1,2597.8555770601797,2,16,1047.2215510644762,False
134,1907.643410709666,3,2214.308791187537,2,1130.4599947596794,3,,1,,1,1155.7369996315208,3,,1,2597.8555770601797,2,16,1047.2215510644762,False
135,1907.643410709666,3,2214.308791187537,2,1130.4599947596794,3,,1,,1,1155.7369996315208,3,,1,2597.8555770601797,2,16,1047.2215510644762,False
136,1907.643410709666,3,2214.308791187537,2,1130.4599947596794,3,,1,,1,1155.7369996315208,3,,1,2597.8555770601797,2,16,1047.2215510644762,False
137,1892.4837375819557,3,1752.80749618687,3,,1,,1,,1,1518.1542617946538,3,,1,1303.6401471899267,3,16,290.6154996191607,True
138,1488.608436115387,3,1293.8944605114045,3,,1,,1,,1,1374.868547644014,3,,1,1278.4015411434827,3,16,41.41119458399629,True
139,855.8849646659258,4,1212.8398145868412,3,2571.043308153427,2,1938.6986838410708,3,,1,1075.4872878272024,3,2410.2439354763433,2,1282.9386261879156,3,21,294.98362605246194,True
140,780.0778033503324,4,,1,1326.2730431766952,3,1149.2722762740311,3,,1,1998.2454671837302,3,,1,1324.7131130306577,3,19,602.1340330417056,False
141,2500.73053453349,2,,1,,1,,1,,1,835.0703066115599,4,,1,,1,12,758.5511668555305,False
142,2500.73053453349,2,,1,,1,,1,,1,835.0703066115599,4,,1,,1,12,758.5511668555305,False
143,2500.73053453349,2,,1,,1,,1,,1,835.0703066115599,4,,1,,1,12,758.5511668555305,False
144,2500.73053453349,2,,1,,1,,1,,1,835.0703066115599,4,,1,,1,12,758.5511668555305,False
145,2500.73053453349,2,,1,,1,,1,,1,835.0703066115599,4,,1,,1,12,758.5511668555305,False
146,2500.73053453349,2,,1,,1,,1,,1,835.0703066115599,4,,1,,1,12,758.5511668555305,False
147,2500.73053453349,2,,1,,1,,1,,1,835.0703066115599,4,,1,,1,12,758.5511668555305,False
148,,1,,1,,1,,1,,1,151.9683255108239,4,,1,,1,11,1441.6531479562664,False
149,,1,,1,,1,,1,,1,151.9683255108239,4,,1,,1,11,1441.6531479562664,False
150,495.65666587139657,4,785.2012424707987,4,1300.894740175681,3,2143.372173227854,2,2122.948749044818,2,1237.0716636414622,3,1893.4872045497511,3,429.68953264055546,4,25,437.97096456848567,True
